i | Я
the | 'the'
Hello | Привет
Goodbye | Прощай
Thank you | Спасибо
Please | Пожалуйста
Yes | Да
No | Нет
Sorry | Извини(те)
Help | Помощь
Today | Сегодня
Tomorrow | Завтра
Yesterday | Вчера
Now | Сейчас
Later | Позже
Before | До
After | После
Beautiful | Красиво
Ugly | Некрасиво
Big | Большой
Small | Маленький
Fast | Быстро
Slow | Медленно
Happy | Счастливый
Sad | Грустный
Hot | Горячо
Cold | Холодно
Good | Хороший
Bad | Плохой
Open | Открыто
Closed | Закрыто
Far | Далеко
Near | Близко
New | Новый
Old | Старый
Right | Правильно
Wrong | Неправильно
Easy | Легко
Difficult | Трудно
about | о
today | сегодня
sun | солнце
atmosphere | атмосфера
evening | вечер
but | но
day | день
shining | сияет(ло)
moments | моменты
simple | простой
sunset | закат
morning | утро
friend | друг
Overall | в общем
positive | позитивный(ое)
vibes | настроение
coffee | кофе
thought | думал(ла)
plans | планы
delicious | вкусная
food | еда
watch | смотреть
watched | смотрел(а)
filled | наполненный
met | встретил(а)
lunch | перекус
shared | поделились
stories | истории
feel | чувствовать
life | жизнь
not | не
decided | решил(а)
try | попробовать
it | это
and | и
way | путь
home | дом
restaurant | ресторан
was | был(а)
i love you | я люблю тебя
love | люблю
look forward to | предвкушаю
you | тебя
want | хочу
say | сказать
that | что
meet | встреча(у)
a | 'a'
So | в общем
couldn't | не мог
look | смотреть
what | что
in | в
something | что-то
exciting | потрясающие
appreciating | ценим
my | моё
for | для
joys | радости
our | нашу
cozy | уютной(ый)
